,job,company,location,salary,description
28567,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28568,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28569,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28570,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28571,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28572,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28573,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28574,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28575,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28576,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28577,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28578,Data Scientist,    xometry,"Durham, NC",,
28579,Data Scientist,        Novetta,"Crystal City, VA",,
28580,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28581,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28582,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28583,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28584,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28585,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28586,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28587,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28588,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28589,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28590,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28591,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28592,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28593,Data Scientist,    xometry,"Durham, NC",,
28594,Data Scientist,        Novetta,"Crystal City, VA",,
28595,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28596,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28597,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28598,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28599,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28600,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28601,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28602,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28603,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28604,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28605,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28606,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28607,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28608,Data Scientist,    xometry,"Durham, NC",,
28609,Data Scientist,        Novetta,"Crystal City, VA",,
28610,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28611,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28612,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28613,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28614,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28615,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28616,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28617,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28618,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28619,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28620,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28621,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28622,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28623,Data Scientist,    xometry,"Durham, NC",,
28624,Data Scientist,        Novetta,"Crystal City, VA",,
28625,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28626,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28627,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28628,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28629,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28630,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28631,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28632,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28633,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28634,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28635,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28636,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28637,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28638,Data Scientist,    xometry,"Durham, NC",,
28639,Data Scientist,        Novetta,"Crystal City, VA",,
28640,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28641,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28642,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28643,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28644,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28645,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28646,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28647,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28648,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28649,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28650,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28651,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28652,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28653,Data Scientist,    xometry,"Durham, NC",,
28654,Data Scientist,        Novetta,"Crystal City, VA",,
28655,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28656,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28657,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28658,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28659,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28660,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28661,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28662,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28663,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28664,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28665,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28666,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28667,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28668,Data Scientist,    xometry,"Durham, NC",,
28669,Data Scientist,        Novetta,"Crystal City, VA",,
28670,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28671,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28672,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28673,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28674,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28675,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28676,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28677,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28678,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28679,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28680,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28681,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28682,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28683,Data Scientist,    xometry,"Durham, NC",,
28684,Data Scientist,        Novetta,"Crystal City, VA",,
28685,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28686,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28687,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28688,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28689,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28690,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28691,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28692,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28693,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28694,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28695,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28696,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28697,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28698,Data Scientist,    xometry,"Durham, NC",,
