,job,company,location,salary,description
12655,Senior Data Scientist,    NIT Finance,"New York, NY",,
12656,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12657,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12658,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12659,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12660,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12661,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12662,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12663,Data Scientist,    xometry,"Durham, NC",,
12664,Data Scientist,        Novetta,"Crystal City, VA",,
12665,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12666,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12667,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12668,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12669,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12670,Senior Data Scientist,    NIT Finance,"New York, NY",,
12671,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12672,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12673,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12674,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12675,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12676,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12677,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12678,Data Scientist,    xometry,"Durham, NC",,
12679,Data Scientist,        Novetta,"Crystal City, VA",,
12680,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12681,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12682,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12683,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12684,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12685,Senior Data Scientist,    NIT Finance,"New York, NY",,
12686,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12687,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12688,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12689,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12690,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12691,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12692,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12693,Data Scientist,    xometry,"Durham, NC",,
12694,Data Scientist,        Novetta,"Crystal City, VA",,
12695,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12696,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12697,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12698,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12699,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12700,Senior Data Scientist,    NIT Finance,"New York, NY",,
12701,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12702,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12703,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12704,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12705,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12706,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12707,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12708,Data Scientist,    xometry,"Durham, NC",,
12709,Data Scientist,        Novetta,"Crystal City, VA",,
12710,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12711,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12712,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12713,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12714,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12715,Senior Data Scientist,    NIT Finance,"New York, NY",,
12716,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12717,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12718,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12719,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12720,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12721,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12722,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12723,Data Scientist,    xometry,"Durham, NC",,
12724,Data Scientist,        Novetta,"Crystal City, VA",,
12725,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12726,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12727,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12728,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12729,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12730,Senior Data Scientist,    NIT Finance,"New York, NY",,
12731,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12732,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12733,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12734,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12735,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12736,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12737,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12738,Data Scientist,    xometry,"Durham, NC",,
12739,Data Scientist,        Novetta,"Crystal City, VA",,
12740,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12741,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12742,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12743,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12744,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12745,Senior Data Scientist,    NIT Finance,"New York, NY",,
12746,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12747,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12748,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12749,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12750,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12751,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12752,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12753,Data Scientist,    xometry,"Durham, NC",,
12754,Data Scientist,        Novetta,"Crystal City, VA",,
12755,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12756,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12757,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12758,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12759,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12760,Senior Data Scientist,    NIT Finance,"New York, NY",,
12761,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12762,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12763,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12764,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12765,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12766,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12767,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12768,Data Scientist,    xometry,"Durham, NC",,
12769,Data Scientist,        Novetta,"Crystal City, VA",,
12770,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12771,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12772,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12773,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12774,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12775,Senior Data Scientist,    NIT Finance,"New York, NY",,
12776,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12777,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12778,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12779,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12780,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12781,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12782,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12783,Data Scientist,    xometry,"Durham, NC",,
12784,Data Scientist,        Novetta,"Crystal City, VA",,
12785,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12786,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12787,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12788,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12789,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12790,Senior Data Scientist,    NIT Finance,"New York, NY",,
12791,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12792,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12793,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12794,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12795,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12796,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12797,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12798,Data Scientist,    xometry,"Durham, NC",,
12799,Data Scientist,        Novetta,"Crystal City, VA",,
12800,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12801,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12802,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12803,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12804,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12805,Senior Data Scientist,    NIT Finance,"New York, NY",,
12806,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12807,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12808,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12809,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12810,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12811,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12812,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12813,Data Scientist,    xometry,"Durham, NC",,
12814,Data Scientist,        Novetta,"Crystal City, VA",,
12815,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12816,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12817,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12818,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12819,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12820,Senior Data Scientist,    NIT Finance,"New York, NY",,
12821,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12822,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12823,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12824,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12825,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12826,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12827,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12828,Data Scientist,    xometry,"Durham, NC",,
12829,Data Scientist,        Novetta,"Crystal City, VA",,
12830,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12831,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12832,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12833,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12834,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12835,Senior Data Scientist,    NIT Finance,"New York, NY",,
12836,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12837,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12838,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12839,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12840,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12841,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12842,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12843,Data Scientist,    xometry,"Durham, NC",,
12844,Data Scientist,        Novetta,"Crystal City, VA",,
12845,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12846,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12847,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12848,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12849,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12850,Senior Data Scientist,    NIT Finance,"New York, NY",,
12851,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12852,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12853,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12854,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12855,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12856,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12857,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12858,Data Scientist,    xometry,"Durham, NC",,
12859,Data Scientist,        Novetta,"Crystal City, VA",,
12860,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12861,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12862,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12863,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12864,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12865,Senior Data Scientist,    NIT Finance,"New York, NY",,
12866,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12867,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12868,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12869,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12870,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12871,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12872,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12873,Data Scientist,    xometry,"Durham, NC",,
12874,Data Scientist,        Novetta,"Crystal City, VA",,
12875,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12876,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12877,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12878,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12879,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12880,Senior Data Scientist,    NIT Finance,"New York, NY",,
12881,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12882,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12883,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12884,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12885,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12886,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12887,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12888,Data Scientist,    xometry,"Durham, NC",,
12889,Data Scientist,        Novetta,"Crystal City, VA",,
12890,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12891,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12892,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12893,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12894,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12895,Senior Data Scientist,    NIT Finance,"New York, NY",,
12896,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12897,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12898,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12899,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12900,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12901,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12902,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12903,Data Scientist,    xometry,"Durham, NC",,
12904,Data Scientist,        Novetta,"Crystal City, VA",,
12905,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12906,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12907,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12908,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12909,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12910,Senior Data Scientist,    NIT Finance,"New York, NY",,
12911,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12912,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12913,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12914,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12915,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12916,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12917,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12918,Data Scientist,    xometry,"Durham, NC",,
12919,Data Scientist,        Novetta,"Crystal City, VA",,
12920,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12921,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12922,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12923,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12924,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12925,Senior Data Scientist,    NIT Finance,"New York, NY",,
12926,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12927,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12928,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12929,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12930,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12931,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12932,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12933,Data Scientist,    xometry,"Durham, NC",,
12934,Data Scientist,        Novetta,"Crystal City, VA",,
12935,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12936,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12937,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12938,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12939,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12940,Senior Data Scientist,    NIT Finance,"New York, NY",,
12941,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12942,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12943,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12944,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12945,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12946,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12947,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12948,Data Scientist,    xometry,"Durham, NC",,
12949,Data Scientist,        Novetta,"Crystal City, VA",,
12950,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12951,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12952,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12953,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12954,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12955,Senior Data Scientist,    NIT Finance,"New York, NY",,
12956,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12957,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12958,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12959,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12960,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12961,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12962,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12963,Data Scientist,    xometry,"Durham, NC",,
12964,Data Scientist,        Novetta,"Crystal City, VA",,
12965,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12966,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12967,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12968,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12969,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12970,Senior Data Scientist,    NIT Finance,"New York, NY",,
12971,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12972,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12973,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12974,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12975,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12976,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12977,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12978,Data Scientist,    xometry,"Durham, NC",,
12979,Data Scientist,        Novetta,"Crystal City, VA",,
12980,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12981,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12982,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12983,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12984,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
12985,Senior Data Scientist,    NIT Finance,"New York, NY",,
12986,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
12987,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
12988,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
12989,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
12990,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
12991,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
12992,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
12993,Data Scientist,    xometry,"Durham, NC",,
12994,Data Scientist,        Novetta,"Crystal City, VA",,
12995,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
12996,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
12997,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
12998,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
12999,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13000,Senior Data Scientist,    NIT Finance,"New York, NY",,
13001,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13002,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13003,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13004,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13005,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13006,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13007,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13008,Data Scientist,    xometry,"Durham, NC",,
13009,Data Scientist,        Novetta,"Crystal City, VA",,
13010,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13011,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13012,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13013,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13014,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
13015,Senior Data Scientist,    NIT Finance,"New York, NY",,
13016,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
13017,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
13018,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
13019,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
13020,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
13021,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
13022,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
13023,Data Scientist,    xometry,"Durham, NC",,
13024,Data Scientist,        Novetta,"Crystal City, VA",,
13025,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
13026,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
13027,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
13028,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
13029,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
